station,time_utc,epoch,confidence,loc,valid_frac,day
S12,1973-03-13T07:59:25,100857565.43,0.4999,00,1.0,1973-03-13
S12,1973-03-25T10:27:04,101903224.0,0.6183,00,0.9682,1973-03-25
S12,1973-03-27T10:48:19,102077299.17,0.5995,00,0.9572,1973-03-27
S12,1973-04-07T00:30:12,102990612.98,0.5539,00,0.9097,1973-04-07
S12,1973-04-14T14:45:28,103646728.91,0.4562,00,1.0,1973-04-14
S12,1973-04-23T13:57:30,104421450.11,0.3817,00,1.0,1973-04-23
S12,1973-04-26T03:03:20,104641400.0,0.7623,00,0.9357,1973-04-26
S12,1973-04-26T19:21:17,104700077.13,0.5832,00,0.9577,1973-04-26
S12,1973-05-25T14:21:29,107187689.51,0.7323,00,0.9193,1973-05-25
S12,1973-05-25T21:45:23,107214323.17,0.7919,00,0.9293,1973-05-25
S12,1973-06-14T15:35:33,108920133.28,0.6206,00,0.9751,1973-06-14
S12,1973-06-15T14:51:55,109003915.32,0.7425,00,0.9197,1973-06-15
S12,1973-06-26T15:34:35,109956875.32,0.6827,00,0.9758,1973-06-26
S12,1973-07-08T05:27:35,110957255.7,0.6757,00,0.9232,1973-07-08
S12,1973-08-01T12:20:34,113055634.57,0.7784,00,0.909,1973-08-01
S12,1973-08-03T06:37:47,113207867.62,0.6875,00,0.9243,1973-08-03
S12,1973-08-03T21:25:05,113261105.96,0.7274,00,0.9389,1973-08-03
S12,1973-08-16T10:59:16,114346756.08,0.4211,00,1.0,1973-08-16
S12,1973-09-11T10:36:24,116591784.3,0.6146,00,0.9561,1973-09-11
S12,1973-09-19T09:31:50,117279110.49,0.4265,00,1.0,1973-09-19
S12,1973-09-21T08:51:54,117449514.72,0.7042,00,0.952,1973-09-21
S12,1973-09-24T15:57:07,117734227.77,0.6089,00,0.919,1973-09-24
S12,1973-12-08T12:20:15,124201215.25,0.6105,00,0.9403,1973-12-08
S12,1973-12-17T18:42:19,125001739.32,0.4378,00,1.0,1973-12-17
S12,1973-12-22T12:31:50,125411510.79,0.4872,00,0.9625,1973-12-22
S12,1973-12-28T15:22:21,125940141.13,0.4381,00,1.0,1973-12-28
S12,1973-12-28T16:21:45,125943705.81,0.4262,00,1.0,1973-12-28
S12,1973-12-28T17:03:08,125946188.53,0.4413,00,1.0,1973-12-28
S12,1973-12-28T18:16:14,125950574.34,0.4128,00,1.0,1973-12-28
S12,1973-12-28T18:56:58,125953018.42,0.4051,00,1.0,1973-12-28
S12,1973-12-29T13:36:53,126020213.58,0.4371,00,1.0,1973-12-29
S12,1973-12-29T15:49:24,126028164.08,0.4492,00,1.0,1973-12-29
S12,1974-02-07T06:22:20,129450140.23,0.4802,00,1.0,1974-02-07
S12,1974-02-10T12:08:20,129730100.38,0.5956,00,1.0,1974-02-10
S12,1974-03-14T05:07:47,132469667.47,0.4049,00,1.0,1974-03-14
S12,1974-04-19T18:29:07,135628147.17,0.5749,00,1.0,1974-04-19
S12,1974-05-03T13:41:43,136820503.4,0.6859,00,0.9376,1974-05-03
S12,1974-05-13T02:31:07,137644267.92,0.7808,00,0.9966,1974-05-13
S12,1974-06-21T15:54:13,141062053.89,0.7641,00,0.92,1974-06-21
S12,1974-06-28T15:14:27,141664467.77,0.7738,00,0.911,1974-06-28
S12,1974-06-30T17:43:52,141846232.6,0.5441,00,1.0,1974-06-30
S12,1974-07-08T01:49:45,142480185.21,0.7395,00,0.9195,1974-07-08
S12,1974-07-14T01:31:14,142997474.26,0.5921,00,0.9483,1974-07-14
S12,1974-09-21T22:17:35,149033855.25,0.6798,00,0.9181,1974-09-21
S12,1974-09-23T11:52:24,149169144.0,0.5174,00,1.0,1974-09-23
S12,1974-09-24T01:09:20,149216960.45,0.6272,00,0.9639,1974-09-24
S12,1974-10-07T00:08:57,150336537.81,0.4416,00,1.0,1974-10-07
S12,1974-11-21T13:17:15,154271835.02,0.5057,01,1.0,1974-11-21
S12,1974-11-26T19:22:15,154725735.09,0.6623,01,0.9614,1974-11-26
S12,1974-11-29T03:01:43,154926103.4,0.6619,01,0.904,1974-11-29
S12,1974-12-15T09:08:00,156330480.75,0.4752,01,1.0,1974-12-15
S12,1974-12-19T04:45:34,156660334.34,0.6514,01,0.9371,1974-12-19
S12,1974-12-23T10:06:56,157025216.45,0.6536,01,0.93,1974-12-23
S12,1975-01-31T15:36:31,160414591.25,0.5581,01,1.0,1975-01-31
S12,1975-02-03T09:48:15,160652895.85,0.4335,01,1.0,1975-02-03
S12,1975-02-12T09:16:03,161428563.77,0.4989,01,0.9881,1975-02-12
S12,1975-02-22T10:04:41,162295481.21,0.5204,01,1.0,1975-02-22
S12,1975-03-19T03:53:34,164433214.04,0.6758,01,0.9417,1975-03-19
S12,1975-04-12T18:16:14,166558574.34,0.5275,00,1.0,1975-04-12
S12,1975-04-13T13:55:53,166629353.51,0.4573,00,0.922,1975-04-13
S12,1975-05-04T10:04:12,168429852.23,0.5039,00,1.0,1975-05-04
S12,1975-07-23T23:40:20,175390820.68,0.7351,01,0.9211,1975-07-23
S12,1975-08-22T12:37:57,177943077.89,0.7161,01,0.9218,1975-08-22
S12,1975-09-09T14:54:58,179506498.87,0.6821,01,0.9492,1975-09-09
S12,1975-10-06T10:27:52,181823272.3,0.6222,01,0.9035,1975-10-06
S12,1975-10-31T06:32:57,183969177.81,0.513,01,1.0,1975-10-31
S12,1975-11-01T01:24:28,184037068.53,0.3963,01,1.0,1975-11-01
S12,1975-11-01T01:55:23,184038923.32,0.4078,01,1.0,1975-11-01
S12,1975-11-01T03:58:23,184046303.85,0.402,01,1.0,1975-11-01
S12,1975-11-01T04:30:26,184048226.26,0.4571,01,1.0,1975-11-01
S12,1975-11-05T09:45:50,184412750.94,0.4714,01,0.9241,1975-11-05
S12,1975-11-07T11:19:23,184591163.62,0.4803,01,0.904,1975-11-07
S12,1975-11-16T15:46:59,185384819.17,0.6482,01,0.9168,1975-11-16
S12,1975-11-19T21:47:38,185665658.42,0.6287,01,0.9259,1975-11-19
S12,1975-11-23T09:13:38,185966018.87,0.7881,01,0.911,1975-11-23
S12,1975-11-23T21:05:56,186008756.38,0.5721,01,0.9577,1975-11-23
S12,1975-11-29T03:53:05,186465185.06,0.6699,01,0.9357,1975-11-29
S12,1975-12-06T01:01:07,187059667.77,0.6907,01,0.903,1975-12-06
S12,1975-12-13T06:11:52,187683112.3,0.4754,01,1.0,1975-12-13
S12,1975-12-14T11:34:02,187788842.72,0.4816,01,1.0,1975-12-14
S12,1975-12-22T00:05:44,188438744.6,0.7153,01,0.9136,1975-12-22
S12,1976-01-08T20:45:48,189981948.83,0.4827,01,0.97,1976-01-08
S12,1976-01-10T23:07:39,190163259.62,0.6624,01,0.9682,1976-01-10
S12,1976-01-13T07:16:26,190365386.11,0.4913,01,1.0,1976-01-13
S12,1976-01-25T16:08:52,191434132.98,0.655,01,1.0,1976-01-25
S12,1976-01-29T22:49:56,191803796.98,0.4951,01,0.9271,1976-01-29
S12,1976-02-03T04:47:10,192170830.94,0.6894,01,0.9216,1976-02-03
S12,1976-02-06T04:23:50,192428630.19,0.6998,01,0.9389,1976-02-06
S12,1976-02-10T15:06:05,192812765.43,0.6097,01,0.9085,1976-02-10
S12,1976-02-17T15:45:41,193419941.89,0.7348,01,0.9168,1976-02-17
S12,1976-02-18T00:07:59,193450079.85,0.5422,01,1.0,1976-02-18
S12,1976-02-21T22:48:20,193790900.38,0.6698,01,0.9568,1976-02-21
S12,1976-02-28T02:52:13,194323933.43,0.7016,01,0.9675,1976-02-28
S12,1976-03-02T10:47:21,194611641.21,0.7417,01,0.9202,1976-03-02
S12,1976-03-03T08:55:07,194691307.92,0.616,01,0.9092,1976-03-03
S12,1976-03-28T05:37:44,196839464.3,0.6793,01,0.962,1976-03-28
S12,1976-04-07T01:21:15,197688075.32,0.666,01,0.9108,1976-04-07
S12,1976-04-15T21:14:09,198450849.06,0.6142,01,0.9227,1976-04-15
S12,1976-04-18T08:47:14,198665234.57,0.4623,01,1.0,1976-04-18
S12,1976-04-22T22:26:26,199059986.57,0.7194,01,0.946,1976-04-22
S12,1976-05-06T12:19:17,200233157.28,0.7267,01,0.9252,1976-05-06
S12,1976-05-09T04:16:45,200463405.13,0.651,01,0.9501,1976-05-09
S12,1976-05-20T07:09:21,201424161.06,0.731,01,0.946,1976-05-20
S12,1976-05-24T03:34:53,201756893.43,0.4447,01,1.0,1976-05-24
S12,1976-05-31T10:27:52,202386472.3,0.6101,01,0.9625,1976-05-31
S12,1976-06-05T06:08:19,202802899.77,0.6357,01,0.9785,1976-06-05
S12,1976-06-09T21:06:25,203202385.36,0.6653,01,0.9097,1976-06-09
S12,1976-06-10T01:10:57,203217057.06,0.6619,01,0.901,1976-06-10
S12,1976-06-19T02:10:41,203998241.06,0.6448,01,0.9575,1976-06-19
S12,1976-07-01T13:22:33,205075353.81,0.6103,01,0.9239,1976-07-01
S12,1976-07-28T11:07:28,207400048.75,0.7006,01,0.9664,1976-07-28
S12,1976-08-06T12:24:55,208182295.4,0.469,01,1.0,1976-08-06
S12,1976-08-17T23:19:44,209171984.15,0.7039,01,0.9463,1976-08-17
S12,1976-08-22T08:12:56,209549576.91,0.691,01,0.9309,1976-08-22
S12,1976-08-27T08:43:42,209983422.04,0.7352,01,0.9442,1976-08-27
S12,1976-08-28T10:58:27,210077907.77,0.6369,01,0.9524,1976-08-28
S12,1976-09-21T09:45:02,212147102.64,0.7501,01,0.9252,1976-09-21
S12,1976-10-12T18:50:51,213994251.32,0.722,01,0.9305,1976-10-12
S12,1976-10-16T17:40:10,214335610.42,0.6847,01,0.9204,1976-10-16
S12,1976-10-17T02:42:33,214368153.81,0.6859,01,0.9616,1976-10-17
S12,1976-10-18T02:53:40,214455220.38,0.686,01,0.9442,1976-10-18
S12,1976-10-28T12:30:33,215353833.51,0.7113,01,0.9316,1976-10-28
S12,1976-11-13T12:41:20,216736880.75,0.5894,01,0.9753,1976-11-13
S12,1976-11-15T01:11:45,216868305.36,0.4419,01,1.0,1976-11-15
S12,1976-11-19T04:46:12,217226772.98,0.7931,01,0.9314,1976-11-19
S12,1976-12-01T12:09:56,218290196.98,0.6204,01,0.9213,1976-12-01
S12,1976-12-04T10:46:13,218544373.58,0.63,01,0.9488,1976-12-04
S12,1976-12-06T23:49:31,218764171.32,0.7037,01,0.9481,1976-12-06
S12,1976-12-29T12:20:15,220710015.25,0.6877,01,0.9341,1976-12-29
S12,1976-12-31T19:41:53,220909313.66,0.6821,01,0.9465,1976-12-31
S12,1977-01-01T20:35:40,220998940.23,0.5895,01,0.9552,1977-01-01
S12,1977-01-08T21:56:58,221608618.72,0.5336,01,1.0,1977-01-08
S12,1977-02-05T01:51:41,223955501.13,0.679,01,0.9275,1977-02-05
S12,1977-02-10T22:08:24,224460504.6,0.5705,01,0.9444,1977-02-10
S12,1977-02-11T20:34:32,224541272.6,0.6577,01,0.9762,1977-02-11
S12,1977-02-18T03:45:21,225085521.36,0.7015,01,0.9227,1977-02-18
S12,1977-02-19T22:08:24,225238104.6,0.5726,01,0.9447,1977-02-19
S12,1977-02-22T13:51:52,225467512.0,0.64,01,0.9604,1977-02-22
S12,1977-02-25T05:36:27,225696987.02,0.6638,01,0.9611,1977-02-25
S12,1977-02-27T12:50:21,225895821.74,0.6659,01,0.9737,1977-02-27
S12,1977-03-08T09:56:09,226662969.21,0.6937,01,0.9387,1977-03-08
S12,1977-03-16T11:55:08,227361308.23,0.5248,01,1.0,1977-03-16
S12,1977-03-16T14:33:34,227370814.04,0.4564,01,1.0,1977-03-16
S12,1977-03-20T03:43:44,227677424.75,0.6377,01,0.9442,1977-03-20
S12,1977-03-20T11:19:23,227704763.62,0.6312,01,0.904,1977-03-20
S12,1977-03-24T15:45:32,228066332.23,0.6539,01,0.9472,1977-03-24
S12,1977-04-07T22:27:24,229300044.53,0.6789,00,0.9177,1977-04-07
S12,1977-04-22T23:51:17,230601077.58,0.6064,00,0.9245,1977-04-22
S12,1977-04-28T10:48:28,231072508.83,0.4522,00,1.0,1977-04-28
S12,1977-05-08T00:10:05,231898205.43,0.4766,00,1.0,1977-05-08
S12,1977-05-28T01:31:14,233631074.26,0.4659,00,1.0,1977-05-28
S12,1977-06-24T10:05:29,235994729.51,0.6833,00,0.9485,1977-06-24
S12,1977-06-28T22:25:09,236384709.28,0.4863,00,1.0,1977-06-28
S12,1977-07-08T12:31:41,237213101.13,0.4284,00,1.0,1977-07-08
S12,1977-07-11T19:24:49,237497089.66,0.4706,00,1.0,1977-07-11
S12,1977-07-13T03:15:05,237611705.21,0.5166,00,0.9719,1977-07-13
S12,1977-07-17T17:38:04,238009084.83,0.6863,00,0.9751,1977-07-17
S12,1977-07-20T01:51:12,238211472.15,0.6607,00,0.9705,1977-07-20
S12,1977-08-01T09:45:21,239276721.96,0.7362,00,0.9346,1977-08-01
S12,1977-08-08T12:20:44,239890844.23,0.7117,00,0.9273,1977-08-08
S12,1977-08-12T12:50:21,240238221.74,0.7169,00,0.9456,1977-08-12
S12,1977-08-13T09:56:28,240314188.53,0.7316,00,0.9094,1977-08-13
S12,1977-08-17T09:25:53,240657953.06,0.5171,00,0.901,1977-08-17
S12,1977-08-20T08:02:57,240912177.96,0.7139,00,0.9206,1977-08-20
S12,1977-08-27T11:59:19,241531159.4,0.6398,00,0.9373,1977-08-27
S12,1977-08-29T20:43:43,241735423.25,0.7416,00,0.9202,1977-08-29
S12,1977-09-03T21:56:20,242171780.08,0.6945,00,0.9364,1977-09-03
S12,1977-09-09T03:53:24,242625204.38,0.7438,00,0.9469,1977-09-09
S12,1977-09-11T20:45:39,242858739.17,0.5497,00,0.925,1977-09-11
S12,1977-09-13T20:32:17,243030737.36,0.6279,00,1.0,1977-09-13
S12,1977-09-14T02:31:17,243052277.58,0.6014,00,0.9764,1977-09-14
S12,1977-09-14T11:29:03,243084543.25,0.691,00,0.917,1977-09-14
S12,1977-09-14T12:51:29,243089489.36,0.7379,00,0.9097,1977-09-14
S12,1977-09-22T11:38:33,243776313.21,0.4493,00,1.0,1977-09-22
S12,1977-09-24T12:00:17,243950417.36,0.6543,00,0.9268,1977-09-24
